"0xbdce18","Name","Description","Character ID","Class ID (support viewer only)","Portrait ID","Mini Portrait","Affinity","Sort Order","Level","HP Base","Strength/Magic Base","Skill Base","Speed","Defense Base","Resistance Base","Luck Base","Constitution Bonus","Sword Rank","Lance Rank","Axe Rank","Bow Rank","Staff Rank","Anima Rank","Light Rank","Dark Rank","HP Growth","Strength/Magic Growth","Skill Growth","Speed Growth","Defense Growth","Resistance Growth","Luck Growth","Battle Palette T1","Battle Palette T2","Unique Battle Anim T1","Unique Battle Anim T2","Zero","Ability Bitfield","Support Pointer","Conversation Group","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)"
"0x00 None","0xb8dd","0x806","0x0","0x0","0x0","0","0","0","0","25","0","0","0","0","0","0","0","3","0","0","0","253","184","6","8","3","0","0","0","41","-71","6","0x8","0x3","0x0","0x0","0x0","0x806b98d","0x0","0","0x0","0x0","0x0"
"0x01 Eliwood","0x4dc","0x1af","0x1","0x1","0x2","0","7","1","1","0","0","0","0","0","0","7","0","71","0","0","0","0","0","0","0","80","45","50","40","30","35","45","0x2b","0x38","0x0","0x0","0x0","0x0","0x8c98b18","0","0x0","0x0","0x0"
"0x02 Hector","0x4dd","0x1b0","0x2","0x3","0xc","0","2","2","1","0","0","0","0","0","0","3","0","0","0","71","0","0","0","0","0","90","60","45","35","50","25","30","0x37","0x36","0x0","0x0","0x0","0x0","0x8c98b30","2","0x0","0x0","0x0"
"0x03 Lyn (tutorial)","0x4de","0x1b1","0x3","0x2","0x16","0","3","3","1","0","0","0","0","0","0","5","0","31","0","0","0","0","0","0","0","70","40","60","60","20","30","55","0x1","0x1b","0x0","0x0","0x0","0x4000","0x0","7","0x0","0x0","0x0"
"0x04 Raven","0x4df","0x1b4","0x4","0xa","0x23","0","4","8","1","7","4","3","5","1","1","2","-1","71","0","0","0","0","0","0","0","85","55","40","45","25","15","35","0x3d","0x1e","0x0","0xd","0x0","0x0","0x8c98b60","1","0x0","0x0","0x0"
"0x05 Geitz","0x4e0","0x1b5","0x5","0x13","0x24","0","2","5","3","12","9","7","7","6","3","10","0","0","0","121","121","0","0","0","0","85","50","30","40","20","20","40","0x0","0x73","0x0","0x0","0x0","0x0","0x8c98bf0","2","0x0","0x0","0x0"
"0x06 Guy","0x4e1","0x1b6","0x6","0xe","0x2c","0","1","6","1","5","2","2","2","3","0","5","-3","71","0","0","0","0","0","0","0","75","30","50","70","15","25","45","0x40","0x67","0xe","0xf","0x0","0x0","0x8c98b90","5","0x0","0x0","0x0"
"0x07 Karel","0x4e2","0x1b7","0x7","0x10","0x26","0","6","7","1","10","10","12","10","8","10","15","0","181","0","0","0","0","0","0","0","70","30","50","50","10","15","30","0x0","0x68","0x0","0x0","0x0","0x0","0x8c98ba8","1","0x0","0x0","0x0"
"0x08 Dorcas","0x4e3","0x1b2","0x8","0x12","0x27","0","1","8","3","10","2","5","2","1","0","3","3","0","0","71","0","0","0","0","0","80","60","40","20","25","15","45","0x30","0x72","0x0","0x0","0x0","0x0","0x8c98bc0","1","0x0","0x0","0x0"
"0x09 Bartre","0x4e4","0x1b3","0x9","0x12","0x28","0","2","9","2","9","4","3","-1","2","0","4","2","0","0","31","0","0","0","0","0","85","50","35","40","30","25","30","0x2f","0x70","0x0","0x0","0x0","0x0","0x8c98bd8","4","0x0","0x0","0x0"
"0x0A Citizen","0x54b","0x54b","0xa","0x47","0x0","6","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
"0x0B Oswin","0x4e5","0x1b8","0xb","0x14","0x29","0","7","10","9","11","8","7","5","4","3","3","1","0","121","0","0","0","0","0","0","90","40","30","30","55","30","35","0x8","0x33","0x0","0x0","0x0","0x0","0x8c98c08","3","0x0","0x0","0x0"
"0x0C Fargus","0x4e6","0x1b9","0xc","0x3b","0x50","0","2","11","18","34","17","9","7","12","17","15","2","0","0","181","0","0","0","0","0","90","40","30","30","55","30","35","0x0","0x22","0x0","0x0","0x0","0x0","0x0","1","0x0","0x0","0x0"
"0x0D Wil (tutorial)","0x4e7","0x1ba","0xd","0x18","0x2b","0","3","12","3","2","2","2","2","2","0","6","-1","0","0","0","31","0","0","0","0","75","50","50","40","20","25","40","0x3","0x60","0x0","0x0","0x0","0x0","0x0","5","0x0","0x0","0x0"
"0x0E Rebecca","0x4e8","0x1bb","0xe","0x19","0x48","0","1","13","1","0","1","2","2","0","1","4","0","0","0","0","31","0","0","0","0","60","40","50","60","15","30","50","0x2","0x5e","0x0","0x0","0x0","0x4000","0x8c98c38","7","0x0","0x0","0x0"
"0x0F Louise","0x4e9","0x1bc","0xf","0x1b","0x3b","0","6","14","1","9","6","8","10","4","9","16","0","0","0","0","181","0","0","0","0","60","40","40","40","20","30","30","0x0","0x5d","0x0","0x0","0x0","0x4000","0x8c98c50","11","0x0","0x0","0x0"
"0x10 Lucius","0x4ea","0x1bd","0x10","0x1c","0x3d","0","6","15","3","0","6","5","8","0","1","2","0","0","0","0","0","0","0","31","0","55","60","50","40","10","60","20","0x3f","0x1a","0x1","0x2","0x0","0x0","0x8c98c68","12","0x0","0x0","0x0"
"0x11 Serra","0x4eb","0x1be","0x11","0x1d","0x3e","0","2","16","1","1","1","3","6","2","-1","6","0","0","0","0","0","31","0","0","0","50","50","30","40","15","55","60","0x53","0x17","0x0","0x0","0x0","0x4000","0x8c98c80","8","0x0","0x0","0x0"
"0x12 Renault","0x4ec","0x1bf","0x12","0x1e","0x45","0","7","17","16","22","8","18","16","12","10","10","2","0","0","0","0","181","0","181","0","60","40","30","35","20","40","15","0x0","0x19","0x0","0x0","0x0","0x0","0x8c98c98","1","0x0","0x0","0x0"
"0x13 Erk","0x4ed","0x1c0","0x13","0x20","0x38","0","2","18","1","1","4","4","4","-1","1","3","-1","0","0","0","0","0","31","0","0","65","40","40","50","20","40","30","0x3a","0x58","0x0","0x0","0x0","0x0","0x8c98cb0","3","0x0","0x0","0x0"
"0x14 Nino","0x4ee","0x1c1","0x14","0x21","0x39","0","1","19","5","3","6","5","9","2","3","10","0","0","0","0","0","0","71","0","0","55","50","55","60","15","50","45","0x39","0x55","0x0","0xa","0x0","0x4000","0x8c98cc8","13","0x0","0x0","0x0"
"0x15 Pent","0x4ef","0x1c2","0x15","0x22","0x3a","0","4","20","6","13","13","17","13","6","11","14","1","0","0","0","0","181","181","0","0","50","30","20","40","30","35","40","0x0","0x59","0x0","0x0","0x0","0x0","0x8c98ce0","3","0x0","0x0","0x0"
"0x16 Canas","0x4f0","0x1c3","0x16","0x24","0x3c","0","7","21","8","5","8","8","6","3","4","7","0","0","0","0","0","0","0","0","121","70","45","40","35","25","45","25","0x5a","0x29","0x0","0x0","0x0","0x0","0x8c98cf8","0","0x0","0x0","0x0"
"0x17 Kent (tutorial)","0x4f1","0x1c4","0x17","0x28","0x2f","0","7","22","1","0","1","4","2","-1","1","2","0","31","1","0","0","0","0","0","0","85","40","50","45","25","25","20","0x62","0x49","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
"0x18 Sain (tutorial)","0x4f2","0x1c5","0x18","0x28","0x30","0","3","23","1","-1","3","2","1","0","0","4","0","1","31","0","0","0","0","0","0","80","60","35","40","20","20","35","0x64","0x4e","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0x19 Lowen","0x4f3","0x1c6","0x19","0x28","0x31","0","1","24","2","3","2","3","2","1","0","3","1","31","31","0","0","0","0","0","0","90","30","30","30","40","30","50","0x63","0x4a","0x0","0x0","0x0","0x0","0x8c98d40","0","0x0","0x0","0x0"
"0x1A Marcus","0x4f4","0x1c7","0x1a","0x2a","0x32","0","4","25","1","8","8","11","4","2","5","8","0","181","181","121","0","0","0","0","0","65","30","50","25","15","35","30","0x0","0x4b","0x0","0x0","0x0","0x0","0x8c98d58","4","0x0","0x0","0x0"
"0x1B Priscilla","0x4f5","0x1c8","0x1b","0x2c","0x3f","0","3","26","3","1","5","5","5","1","1","7","-1","0","0","0","0","71","0","0","0","45","40","50","40","15","50","65","0x6d","0x6e","0x0","0x0","0x0","0x4000","0x8c98d70","11","0x0","0x0","0x0"
"0x1C Rath (tutorial)","0x4f6","0x1c9","0x1c","0x2e","0x2e","0","5","27","7","9","3","5","5","3","2","5","1","0","0","0","71","0","0","0","0","80","50","40","50","10","25","30","0x41","0x43","0x0","0x0","0x0","0x0","0x0","6","0x0","0x0","0x0"
"0x1D Florina (tutorial)","0x4f7","0x1ca","0x1d","0x32","0x33","0","6","28","1","3","1","2","4","1","2","7","-1","0","31","0","0","0","0","0","0","60","40","50","55","15","35","50","0x51","0x2e","0x0","0x0","0x0","0x204000","0x0","12","0x0","0x0","0x0"
"0x1E Fiora","0x4f8","0x1cb","0x1e","0x32","0x35","0","3","29","7","7","4","6","8","3","5","6","0","0","71","0","0","0","0","0","0","70","35","60","50","20","50","30","0x50","0x2d","0x0","0x0","0x0","0x204000","0x8c98db8","7","0x0","0x0","0x0"
"0x1F Farina","0x4f9","0x1cc","0x1f","0x32","0x40","0","7","30","12","10","6","8","9","7","10","10","0","0","181","0","0","0","0","0","0","75","50","40","45","25","30","45","0x4f","0x2c","0x0","0x0","0x0","0x204000","0x8c98dd0","8","0x0","0x0","0x0"
"0x20 Heath","0x4fa","0x1cd","0x20","0x34","0x36","0","2","31","7","8","4","5","2","2","1","7","-1","0","121","0","0","0","0","0","0","80","50","50","45","30","20","20","0x25","0x26","0x0","0x0","0x0","0x0","0x8c98de8","0","0x0","0x0","0x0"
"0x21 Vaida","0x4fb","0x1ce","0x21","0x37","0x37","0","1","32","9","19","12","12","6","12","4","11","2","181","181","0","0","0","0","0","0","60","45","25","40","25","15","30","0x0","0x27","0x0","0x0","0x0","0x4000","0x8c98e00","9","0x0","0x0","0x0"
"0x22 Hawkeye","0x4fc","0x1d0","0x22","0x3b","0x1f","0","3","33","4","26","11","8","4","8","10","13","3","0","0","181","0","0","0","0","0","50","40","30","25","20","35","40","0x0","0x16","0x0","0x10","0x0","0x0","0x8c98e18","6","0x0","0x0","0x0"
"0x23 Matthew","0x4fd","0x1d1","0x23","0x3c","0x20","0","3","34","2","2","1","3","2","1","0","2","1","31","0","0","0","0","0","0","0","75","30","40","70","25","20","50","0x6c","0xf","0x0","0x0","0x0","0x0","0x8c98e30","2","0x0","0x0","0x0"
"0x24 Jaffar","0x4fe","0x1d2","0x24","0x3e","0x21","0","4","35","13","18","16","24","15","13","11","10","2","181","0","0","0","0","0","0","0","65","15","40","35","30","30","20","0x0","0xc","0x0","0x0","0x0","0x0","0x8c98e48","6","0x0","0x0","0x0"
"0x25 Ninian","0x4ff","0x1d3","0x25","0x40","0x1c","0","4","36","1","0","-1","-2","5","5","3","10","0","0","0","0","0","0","0","0","0","85","5","5","70","30","70","80","0x24","0x24","0x0","0x0","0x0","0x4000","0x8c98e60","12","0x0","0x0","0x0"
"0x26 Nils","0x500","0x1d4","0x26","0x41","0x41","0","4","37","1","0","-1","-2","5","4","4","10","0","0","0","0","0","0","0","0","0","85","5","5","70","30","70","80","0x20","0x20","0x0","0x0","0x0","0x0","0x0","13","0x0","0x0","0x0"
"0x27 Athos","0x501","0x1d5","0x27","0x42","0x1b","0","7","38","20","0","0","0","0","0","0","25","0","0","0","0","0","251","251","251","251","0","0","0","0","0","0","0","0x65","0x65","0x0","0x0","0x0","0x0","0x0","4","0x0","0x0","0x0"
"0x28 Merlinus","0x502","0x1d6","0x28","0x44","0x4a","0","5","39","5","3","0","1","2","2","2","12","0","0","0","0","0","0","0","0","0","120","0","90","90","30","15","100","0x0","0x0","0x0","0x0","0x0","0x0","0x8c98e78","4","0x0","0x0","0x0"
"0x29 Nils (final chapter)","0x500","0x1d4","0x29","0x41","0x41","0","4","37","1","0","-1","-2","5","4","4","10","0","0","0","0","0","0","0","0","0","85","5","5","70","30","70","80","0x20","0x20","0x0","0x0","0x0","0x0","0x0","13","0x0","0x0","0x0"
"0x2A Uther","0x504","0x1de","0x2a","0x16","0x4e","0","7","0","16","35","16","16","12","9","10","12","1","0","181","251","0","0","0","0","0","65","70","30","20","30","30","15","0x0","0x0","0x0","0x0","0x0","0x0","0x0","4","0x0","0x0","0x0"
"0x2B Vaida (boss)","0x4fb","0x1cf","0x2b","0x37","0x37","0","1","32","9","19","12","12","6","12","4","0","2","181","181","0","0","0","0","0","0","60","45","25","40","25","15","30","0x0","0x27","0x0","0x0","0x0","0x8c000","0x0","9","0x0","0x0","0x0"
"0x2C Wallace","0x507","0x1d8","0x2c","0x14","0x49","0","2","40","12","13","8","5","5","6","2","10","0","0","181","0","0","0","0","0","0","70","45","40","20","35","35","30","0x9","0x34","0x0","0x0","0x0","0x0","0x8c98e90","4","0x0","0x0","0x0"
"0x2D Lyn","0x4de","0x1b1","0x2d","0x2","0x16","0","3","3","4","2","1","3","2","0","0","5","0","71","0","0","0","0","0","0","0","70","40","60","60","20","30","55","0x1","0x1b","0x0","0x0","0x0","0x4000","0x8c98b48","7","0x0","0x0","0x0"
"0x2E Wil","0x4e7","0x1ba","0x2e","0x18","0x2b","0","3","12","4","3","2","2","3","2","1","7","-1","0","0","0","31","0","0","0","0","75","50","50","40","20","25","40","0x3","0x60","0x0","0x0","0x0","0x0","0x8c98c20","5","0x0","0x0","0x0"
"0x2F Kent","0x4f1","0x1c4","0x2f","0x28","0x2f","0","7","22","5","3","3","5","3","0","1","4","0","31","31","0","0","0","0","0","0","85","40","50","45","25","25","20","0x62","0x49","0x0","0x0","0x0","0x0","0x8c98d10","3","0x0","0x0","0x0"
"0x30 Sain","0x4f2","0x1c5","0x30","0x28","0x30","0","3","23","4","2","4","3","2","1","0","5","0","31","31","0","0","0","0","0","0","80","60","35","40","20","20","35","0x64","0x4e","0x0","0x0","0x0","0x0","0x8c98d28","0","0x0","0x0","0x0"
"0x31 Florina","0x4f7","0x1ca","0x31","0x32","0x33","0","6","28","3","4","2","3","4","1","3","8","-1","0","31","0","0","0","0","0","0","60","40","50","55","15","35","50","0x51","0x2e","0x0","0x0","0x0","0x204000","0x8c98da0","12","0x0","0x0","0x0"
"0x32 Rath","0x4f6","0x1c9","0x32","0x2e","0x2e","0","5","27","9","11","4","6","6","4","2","5","0","0","0","0","121","0","0","0","0","80","50","40","50","10","25","30","0x41","0x43","0x0","0x0","0x0","0x0","0x8c98d88","6","0x0","0x0","0x0"
"0x33 Dart","0x506","0x1d7","0x33","0x3a","0x2a","0","1","0","8","15","8","6","2","3","1","3","0","0","0","121","0","0","0","0","0","70","65","20","60","20","15","35","0x52","0x21","0x0","0x0","0x0","0x0","0x8c98ea8","2","0x0","0x0","0x0"
"0x34 Isadora","0x508","0x1d9","0x34","0x2b","0x46","0","5","30","1","5","7","6","5","1","0","10","-3","181","121","31","0","0","0","0","0","75","30","35","50","20","25","45","0x0","0x45","0x0","0x9","0x0","0x4000","0x8c98ed8","10","0x0","0x0","0x0"
"0x35 Elenora","0x503","0x1dd","0x35","0x4c","0x4c","0","5","0","1","4","4","4","4","4","4","4","0","0","0","0","0","0","181","0","0","50","30","20","40","10","40","50","0x0","0x0","0x0","0x0","0x0","0x4000","0x0","0","0x0","0x0","0x0"
"0x36 Legault","0x50a","0x1da","0x36","0x3c","0x25","0","4","35","12","10","5","10","6","6","3","10","3","71","0","0","0","0","0","0","0","60","25","45","60","25","25","60","0x6b","0xe","0xb","0xc","0x0","0x0","0x8c98ec0","2","0x0","0x0","0x0"
"0x37 Karla","0x50c","0x1dc","0x37","0x11","0x2d","0","5","28","5","10","8","10","6","7","9","16","0","181","0","0","0","0","0","0","0","60","25","45","55","10","20","40","0x0","0x66","0x0","0x0","0x0","0x4000","0x8c98ef0","3","0x0","0x0","0x0"
"0x38 Harken","0x50b","0x1db","0x38","0xc","0x47","0","1","0","8","16","15","11","7","7","8","12","1","121","0","121","0","0","0","0","0","80","35","30","40","30","25","20","0x0","0x1c","0x0","0x0","0x0","0x0","0x8c98b78","3","0x0","0x0","0x0"
"0x39 Leila","0x50d","0x1df","0x39","0x3d","0x57","0","3","39","14","9","12","13","12","11","13","8","0","251","0","0","0","0","0","0","0","80","70","65","0","30","40","55","0x6a","0x0","0x0","0x0","0x0","0x4000","0x0","7","0x0","0x0","0x0"
"0x3A Bramimond","0x50e","0x1e0","0x3a","0x26","0x5c","0","5","22","18","0","0","0","0","0","0","28","0","0","0","0","0","251","0","0","251","90","110","80","90","30","90","70","0x0","0x0","0x0","0x0","0x0","0x0","0x0","10","0x0","0x0","0x0"
"0x3B Kishuna","0x50f","0x1ee","0x3b","0x43","0x7d","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x77","0x77","0x0","0x0","0x0","0x88000","0x0","4","0x0","0x0","0x0"
"0x3C Groznyi","0x511","0x1f3","0x3c","0x39","0x6e","0","0","0","5","5","2","3","-1","1","2","1","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x78","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x3D Wire","0x510","0x1ef","0x3d","0x14","0x6f","0","0","0","7","8","4","4","3","4","3","3","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0xa","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x3E Bandit","0x54f","0x21d","0x3e","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
"0x3F Zagan","0x512","0x1f4","0x3f","0x12","0x70","0","0","0","9","12","6","2","2","4","5","2","3","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x14","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x40 Boies","0x513","0x1f7","0x40","0x14","0x71","0","0","0","13","10","7","6","4","4","7","1","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x4","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x41 Puzon","0x514","0x1f5","0x41","0xa","0x8e","0","0","0","10","8","6","0","1","2","6","5","2","31","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x3e","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0x42 Bandit","0x54f","0x21d","0x42","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","3","0x0","0x0","0x0"
"0x43 Santals","0x516","0x1f2","0x43","0x1e","0x6c","0","0","0","1","8","4","3","2","2","0","0","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x44 Nergal","0x517","0x1f0","0x44","0x45","0x61","0","0","0","20","0","0","0","0","0","0","20","0","0","0","0","0","251","251","251","251","85","50","10","10","10","15","30","0x28","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x45 Erik","0x518","0x1f8","0x45","0x28","0x6b","0","0","0","14","8","3","7","3","2","9","6","1","71","181","0","0","0","0","0","0","85","50","10","10","10","15","30","0x61","0x0","0x0","0x0","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
"0x46 Sealen","0x519","0x1f1","0x46","0x2e","0x72","0","0","0","15","10","5","5","2","3","6","10","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x42","0x0","0x0","0x0","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
"0x47 Bauker","0x51a","0x1f9","0x47","0x14","0x73","0","0","0","18","14","8","8","4","2","11","4","1","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x6","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x48 Bernard","0x51b","0x1fa","0x48","0x16","0x74","0","0","0","1","8","6","5","0","0","7","2","0","0","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x31","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x49 Damian","0x51c","0x1fb","0x49","0x2a","0x75","0","0","0","5","11","5","3","-2","6","10","2","0","181","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x47","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x4A Zoldam","0x51d","0x1fc","0x4a","0x24","0x76","0","0","0","18","12","10","10","8","5","11","8","0","0","0","0","0","0","0","0","121","85","50","10","10","10","15","30","0x5c","0x0","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x4B Uhai","0x51e","0x1fd","0x4b","0x30","0x77","0","0","0","7","12","8","7","5","6","10","4","2","121","0","0","181","0","0","0","0","85","50","10","10","10","15","30","0x0","0x44","0x0","0x0","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
"0x4C Aion","0x51f","0x1fe","0x4c","0x22","0x78","0","0","0","4","12","7","5","8","1","11","9","0","0","0","0","0","0","121","0","0","85","50","10","10","10","15","30","0x0","0x57","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x4D Darin","0x520","0x1ff","0x4d","0x16","0x6a","0","0","0","5","13","6","5","5","2","10","2","0","0","181","181","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x32","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x4E Cameron","0x521","0x200","0x4e","0x2a","0x7a","0","0","0","1","8","2","6","5","2","8","5","0","121","121","71","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x46","0x0","0x0","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
"0x4F Oleg","0x522","0x201","0x4f","0x13","0x7b","0","0","0","5","14","8","4","1","7","7","3","0","0","0","181","31","0","0","0","0","85","50","10","10","10","15","30","0x0","0x75","0x0","0x0","0x0","0x8000","0x0","4","0x0","0x0","0x0"
"0x50 Eubans","0x515","0x1f6","0x50","0x2a","0x7c","0","0","0","6","15","7","6","2","4","11","5","0","121","251","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x48","0x0","0x0","0x0","0x8008000","0x0","4","0x0","0x0","0x0"
