"0xbdce18","Name","Description","Character ID","Class ID (support viewer only)","Portrait ID","Mini Portrait","Affinity","Sort Order","Level","HP Base","Strength/Magic Base","Skill Base","Speed","Defense Base","Resistance Base","Luck Base","Constitution Bonus","Sword Rank","Lance Rank","Axe Rank","Bow Rank","Staff Rank","Anima Rank","Light Rank","Dark Rank","HP Growth","Strength/Magic Growth","Skill Growth","Speed Growth","Defense Growth","Resistance Growth","Luck Growth","Battle Palette T1","Battle Palette T2","Unique Battle Anim T1","Unique Battle Anim T2","Zero","Ability Bitfield","Support Pointer","Conversation Group","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)","***UNKNOWN*** (Zero)"
"0xA7 Black Fang","0x557","0x221","0xa7","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA8 Black Fang","0x557","0x221","0xa8","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xA9 Black Fang","0x557","0x221","0xa9","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAA Black Fang","0x557","0x221","0xaa","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAB Black Fang","0x557","0x221","0xab","0x24","0x0","3","0","0","1","6","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAC Black Fang","0x557","0x221","0xac","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAD Beyard","0x545","0x1ea","0xad","0xa","0x91","0","0","0","7","6","2","0","-1","1","1","4","1","121","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x3b","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xAE Black Fang","0x557","0x221","0xae","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xAF Black Fang","0x557","0x221","0xaf","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB0 Black Fang","0x557","0x221","0xb0","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB1 Black Fang","0x557","0x221","0xb1","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB2 Black Fang","0x557","0x221","0xb2","0x3c","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB3 Black Fang","0x557","0x221","0xb3","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB4 Black Fang","0x557","0x221","0xb4","0x24","0x0","3","0","0","1","0","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB5 Black Fang","0x557","0x221","0xb5","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB6 Yogi","0x546","0x1eb","0xb6","0x14","0x92","0","0","0","6","8","4","5","3","2","1","2","-1","0","71","0","0","0","0","0","0","60","20","30","35","15","15","25","0xb","0x0","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xB7 Caelin","0x553","0x225","0xb7","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB8 Caelin","0x553","0x225","0xb8","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xB9 Caelin","0x553","0x225","0xb9","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBA Caelin","0x553","0x225","0xba","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBB Caelin","0x553","0x225","0xbb","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBC Caelin","0x553","0x225","0xbc","0x24","0x0","3","0","0","1","0","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBD Caelin","0x553","0x225","0xbd","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xBE Eagler","0x547","0x1ec","0xbe","0x2a","0x93","0","0","0","1","7","3","2","0","2","2","2","1","181","181","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x7","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xBF Caelin","0x553","0x225","0xbf","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC0 Caelin","0x553","0x225","0xc0","0x3a","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC1 Caelin","0x553","0x225","0xc1","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC2 Caelin","0x553","0x225","0xc2","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC3 Caelin","0x553","0x225","0xc3","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC4 Caelin","0x553","0x225","0xc4","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC5 Lundgren","0x548","0x1ed","0xc5","0x16","0x94","0","0","0","5","14","4","4","2","1","4","6","0","0","181","181","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x35","0x0","0x0","0x0","0x8000","0x0","0","0x0","0x0","0x0"
"0xC6 Caelin","0x553","0x225","0xc6","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC7 Caelin","0x553","0x225","0xc7","0xa","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","71","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC8 Caelin","0x553","0x225","0xc8","0x18","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xC9 Caelin","0x553","0x225","0xc9","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCA Caelin","0x553","0x225","0xca","0x28","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCB Caelin","0x553","0x225","0xcb","0x24","0x0","3","0","0","1","0","0","0","0","3","-2","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCC Caelin","0x553","0x225","0xcc","0x20","0x0","3","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCD Tactician","0x54a","0x54b","0xcd","0x20","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCE Citizen/Soldier","0x54b","0x54b","0xce","0x47","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xCF Citizen/Soldier","0x54b","0x54b","0xcf","0x47","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xD0 Citizen","0x54b","0x54b","0xd0","0x48","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x4000","0x0","0","0x0","0x0","0x0"
"0xD1 Citizen","0x54b","0x54b","0xd1","0x48","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x4000","0x0","0","0x0","0x0","0x0"
"0xD2 Citizen","0x54b","0x54b","0xd2","0x47","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xD3 Citizen","0x54b","0x54b","0xd3","0x48","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x4000","0x0","0","0x0","0x0","0x0"
"0xD4 Citizen","0x54b","0x54b","0xd4","0x47","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xD5 Citizen","0x54b","0x54b","0xd5","0x48","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x4000","0x0","0","0x0","0x0","0x0"
"0xD6 Citizen","0x54b","0x54b","0xd6","0x47","0x0","2","0","0","1","0","0","0","0","2","-1","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xD7 Merc","0x556","0x226","0xd7","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xD8 Pirate","0x550","0x220","0xd8","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xD9 Bandit","0x54f","0x21e","0xd9","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xDA Citizen","0x54b","0x549","0xda","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xDB Citizen","0x54b","0x549","0xdb","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xDC Citizen","0x54b","0x549","0xdc","0x39","0x0","3","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xDD Black Fang","0x557","0x221","0xdd","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xDE Black Fang","0x557","0x221","0xde","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xDF Bandit","0x54f","0x21e","0xdf","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xE0 Black Fang","0x557","0x221","0xe0","0x38","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xE1 Morph","0x559","0x228","0xe1","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","3","0x0","0x0","0x0"
"0xE2 Black Fang","0x557","0x221","0xe2","0x38","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE3 Black Fang","0x557","0x221","0xe3","0x38","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","25","60","10","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE4 Bandit","0x54f","0x21e","0xe4","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE5 Ostia","0x554","0x222","0xe5","0x39","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE6 Rath's unit","0x55a","0x229","0xe6","0x39","0x0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE7 Bandit","0x54f","0x21e","0xe7","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE8 Bandit","0x551","0x224","0xe8","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xE9 Bern","0x555","0x227","0xe9","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xEA Guardian","0x558","0x223","0xea","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xEB Morph","0x559","0x228","0xeb","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x80000","0x0","0","0x0","0x0","0x0"
"0xEC Laus","0x552","0x21f","0xec","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xED Bandit","0x54f","0x21e","0xed","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xEE Bandit","0x551","0x224","0xee","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xEF Bern","0x555","0x227","0xef","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xF0 Guardian","0x558","0x223","0xf0","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xF1 Morph","0x559","0x228","0xf1","0x39","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8080000","0x0","0","0x0","0x0","0x0"
"0xF2 Guardian","0x558","0x223","0xf2","0x3c","0x0","3","0","0","1","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x8000000","0x0","0","0x0","0x0","0x0"
"0xF3 Black Fang","0x557","0x221","0xf3","0x3a","0x0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","20","30","35","15","15","25","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xF4 Lloyd (morph)","0x535","0x215","0xf4","0x10","0x96","0","7","0","20","31","15","15","17","13","20","0","0","251","0","0","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x69","0x0","0x8","0x0","0x8080000","0x8c98f68","4","0x0","0x0","0x0"
"0xF5 Linus (morph)","0x536","0x216","0xf5","0xc","0x97","0","2","0","20","38","18","14","9","13","17","0","4","251","0","181","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x1f","0x0","0x5","0x0","0x80000","0x8c98f80","4","0x0","0x0","0x0"
"0xF6 Brendan (morph)","0x527","0x217","0xf6","0x13","0x98","0","6","0","20","37","21","15","11","14","17","0","2","0","0","251","251","0","0","0","0","85","50","10","10","10","15","30","0x0","0x71","0x0","0x0","0x0","0x8080000","0x0","3","0x0","0x0","0x0"
"0xF7 Uhai (morph)","0x51e","0x218","0xf7","0x30","0x99","0","0","0","20","34","15","20","18","12","15","0","3","181","0","0","251","0","0","0","0","85","50","10","10","10","15","30","0x0","0x44","0x0","0x0","0x0","0x8080000","0x0","4","0x0","0x0","0x0"
"0xF8 Ursula (morph)","0x523","0x219","0xf8","0x2d","0x9a","0","0","0","20","29","20","19","17","12","17","0","1","0","0","0","0","181","251","0","0","85","50","10","10","10","15","30","0x0","0x6f","0x0","0x0","0x0","0x8084000","0x0","0","0x0","0x0","0x0"
"0xF9 Kenneth (morph)","0x52c","0x21a","0xf9","0x1e","0x9b","0","0","0","20","35","19","15","14","11","21","0","3","0","0","0","0","181","0","251","0","85","50","10","10","10","15","30","0x0","0x18","0x0","0x0","0x0","0x8080000","0x0","4","0x0","0x0","0x0"
"0xFA Darin (morph)","0x520","0x21c","0xfa","0x16","0x9c","0","0","0","20","41","15","14","12","16","12","0","0","0","251","181","0","0","0","0","0","85","50","10","10","10","15","30","0x0","0x32","0x0","0x0","0x0","0x8080000","0x0","4","0x0","0x0","0x0"
"0xFB Enemy","0x54c","0x0","0xfb","0x39","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xFC Wall","0x54d","0x0","0xfc","0x39","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
"0xFD Snag","0x54e","0x0","0xfd","0x39","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0x0","0x0","0x0"
